id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
756,12/05/2017 12:54:45 PM,12/05/2017 01:04:57 PM,1,1.3,1,N,237,142,2,8.5,0,0.5,0,0,0.3,9.3
757,12/05/2017 12:11:57 PM,12/05/2017 12:30:46 PM,1,1.18,1,N,164,230,1,12,0,0.5,2.56,0,0.3,15.36
758,12/05/2017 12:32:54 PM,12/05/2017 01:08:15 PM,1,5.63,1,N,230,87,1,27,0,0.5,5.56,0,0.3,33.36
759,12/05/2017 12:22:41 PM,12/05/2017 12:33:52 PM,1,1.4,1,N,233,140,2,8.5,0,0.5,0,0,0.3,9.3
760,12/05/2017 12:56:48 PM,12/05/2017 01:20:12 PM,1,1.9,1,N,236,170,2,14.5,0,0.5,0,0,0.3,15.3
761,12/05/2017 12:03:30 PM,12/05/2017 12:49:52 PM,3,5.1,1,N,88,230,1,29.5,0,0.5,6.05,0,0.3,36.35
762,12/05/2017 12:43:16 PM,12/05/2017 01:13:24 PM,4,16.1,2,N,170,132,1,52,0,0.5,11.7,5.76,0.3,70.26
763,12/05/2017 12:11:53 PM,12/05/2017 12:30:03 PM,1,1.1,1,N,170,237,1,11.5,0,0.5,2.45,0,0.3,14.75
764,12/05/2017 12:35:58 PM,12/05/2017 01:02:04 PM,1,6,1,N,161,88,2,23.5,0,0.5,0,0,0.3,24.3
765,12/05/2017 12:43:42 PM,12/05/2017 01:40:09 PM,2,16,2,N,132,231,2,52,0,0.5,0,0,0.3,52.8
766,12/05/2017 12:00:25 PM,12/05/2017 12:06:08 PM,2,0.74,1,N,231,13,1,5.5,0,0.5,1.26,0,0.3,7.56
767,12/05/2017 12:12:27 PM,12/05/2017 12:28:12 PM,5,1.65,1,N,79,68,1,11,0,0.5,2.36,0,0.3,14.16
768,12/05/2017 12:36:16 PM,12/05/2017 12:40:26 PM,5,0.79,1,N,90,246,1,5,0,0.5,1.16,0,0.3,6.96
769,12/05/2017 12:42:00 PM,12/05/2017 12:58:54 PM,5,1.82,1,N,246,170,2,11.5,0,0.5,0,0,0.3,12.3
770,12/05/2017 12:20:18 PM,12/05/2017 12:41:31 PM,1,1.6,1,N,234,68,1,13.5,0,0.5,1,0,0.3,15.3
771,12/05/2017 12:53:25 PM,12/05/2017 01:05:09 PM,1,0.7,1,N,100,163,2,8.5,0,0.5,0,0,0.3,9.3
772,12/05/2017 12:17:21 PM,12/05/2017 12:23:42 PM,1,0.79,1,N,74,75,2,5.5,0,0.5,0,0,0.3,6.3
773,12/05/2017 12:54:23 PM,12/05/2017 01:26:27 PM,1,18.24,2,N,236,132,1,52,0,0.5,11.71,5.76,0.3,70.27
774,12/05/2017 12:10:40 PM,12/05/2017 12:48:04 PM,2,3.67,1,N,161,148,1,24,0,0.5,6.2,0,0.3,31
775,12/05/2017 12:42:02 PM,12/05/2017 12:57:09 PM,1,1.27,1,N,246,100,1,10.5,0,0.5,1,0,0.3,12.3
776,12/05/2017 12:58:15 PM,12/05/2017 01:28:41 PM,1,1.97,1,N,68,162,2,18,0,0.5,0,0,0.3,18.8
777,12/05/2017 12:42:24 PM,12/05/2017 12:47:28 PM,1,0.7,1,N,143,48,1,5,0,0.5,1.15,0,0.3,6.95
778,12/05/2017 12:36:25 PM,12/05/2017 01:39:37 PM,1,9.06,1,N,138,230,1,45,0,0.5,10.31,5.76,0.3,61.87
779,12/05/2017 12:38:04 PM,12/05/2017 12:45:05 PM,1,1.2,1,N,107,170,1,7,0,0.5,1.55,0,0.3,9.35
